Time;F;
   0.010; 1.566;
   0.020; 1.569;
   0.030; 1.569;
   0.040; 1.570;
   0.050; 1.570;
   0.060; 1.570;
   0.070; 1.574;
   0.080; 1.573;
   0.090; 1.573;
   0.100; 1.574;
   0.110; 1.574;
   0.120; 1.576;
   0.130; 1.576;
   0.140; 1.577;
   0.150; 1.577;
   0.160; 1.577;
   0.170; 1.577;
   0.180; 1.579;
   0.190; 1.579;
   0.200; 1.579;
   0.210; 1.579;
   0.220; 1.580;
   0.230; 1.580;
   0.240; 1.580;
   0.250; 1.580;
   0.260; 1.581;
   0.270; 1.581;
   0.280; 1.583;
   0.290; 1.581;
   0.300; 1.583;
   0.310; 1.583;
   0.320; 1.583;
   0.330; 1.584;
   0.340; 1.584;
   0.350; 1.584;
   0.360; 1.584;
   0.370; 1.585;
   0.380; 1.585;
   0.390; 1.586;
   0.400; 1.585;
   0.410; 1.585;
   0.420; 1.587;
   0.430; 1.589;
   0.440; 1.589;
   0.450; 1.587;
   0.460; 1.589;
   0.470; 1.590;
   0.480; 1.590;
   0.490; 1.590;
   0.500; 1.591;
   0.510; 1.590;
   0.520; 1.593;
   0.530; 1.591;
   0.540; 1.593;
   0.550; 1.591;
   0.560; 1.591;
   0.570; 1.593;
   0.580; 1.594;
   0.590; 1.593;
   0.600; 1.594;
   0.610; 1.594;
   0.620; 1.595;
   0.630; 1.594;
   0.640; 1.595;
   0.650; 1.595;
   0.660; 1.596;
   0.670; 1.597;
   0.680; 1.597;
   0.690; 1.597;
   0.700; 1.596;
   0.710; 1.597;
   0.720; 1.599;
   0.730; 1.597;
   0.740; 1.599;
   0.750; 1.597;
   0.760; 1.599;
   0.770; 1.599;
   0.780; 1.601;
   0.790; 1.599;
   0.800; 1.601;
   0.810; 1.599;
   0.820; 1.601;
   0.830; 1.600;
   0.840; 1.600;
   0.850; 1.600;
   0.860; 1.601;
   0.870; 1.603;
   0.880; 1.601;
   0.890; 1.601;
   0.900; 1.601;
   0.910; 1.600;
   0.920; 1.603;
   0.930; 1.604;
   0.940; 1.603;
   0.950; 1.603;
   0.960; 1.604;
   0.970; 1.604;
   0.980; 1.605;
   0.990; 1.604;
   1.000; 1.604;
   1.010; 1.605;
   1.020; 1.606;
   1.030; 1.605;
   1.040; 1.606;
   1.050; 1.606;
   1.060; 1.606;
   1.070; 1.606;
   1.080; 1.606;
   1.090; 1.606;
   1.100; 1.605;
   1.110; 1.606;
   1.120; 1.607;
   1.130; 1.607;
   1.140; 1.609;
   1.150; 1.607;
   1.160; 1.609;
   1.170; 1.609;
   1.180; 1.609;
   1.190; 1.609;
   1.200; 1.609;
   1.210; 1.609;
   1.220; 1.610;
   1.230; 1.609;
   1.240; 1.610;
   1.250; 1.609;
   1.260; 1.610;
   1.270; 1.609;
   1.280; 1.610;
   1.290; 1.609;
   1.300; 1.610;
   1.310; 1.610;
   1.320; 1.611;
   1.330; 1.611;
   1.340; 1.611;
   1.350; 1.611;
   1.360; 1.611;
   1.370; 1.611;
   1.380; 1.611;
   1.390; 1.611;
   1.400; 1.611;
   1.410; 1.611;
   1.420; 1.611;
   1.430; 1.611;
   1.440; 1.611;
   1.450; 1.611;
   1.460; 1.613;
   1.470; 1.613;
   1.480; 1.613;
   1.490; 1.611;
   1.500; 1.613;
   1.510; 1.613;
   1.520; 1.614;
   1.530; 1.614;
   1.540; 1.613;
   1.550; 1.613;
   1.560; 1.614;
   1.570; 1.613;
   1.580; 1.613;
   1.590; 1.614;
   1.600; 1.615;
   1.610; 1.615;
   1.620; 1.615;
   1.630; 1.615;
   1.640; 1.615;
   1.650; 1.615;
   1.660; 1.615;
   1.670; 1.614;
   1.680; 1.615;
   1.690; 1.615;
   1.700; 1.615;
   1.710; 1.615;
   1.720; 1.616;
   1.730; 1.615;
   1.740; 1.616;
   1.750; 1.615;
   1.760; 1.615;
   1.770; 1.616;
   1.780; 1.616;
   1.790; 1.616;
   1.800; 1.616;
   1.810; 1.616;
   1.820; 1.616;
   1.830; 1.616;
   1.840; 1.616;
   1.850; 1.616;
   1.860; 1.616;
   1.870; 1.616;
   1.880; 1.617;
   1.890; 1.616;
   1.900; 1.617;
   1.910; 1.617;
   1.920; 1.617;
   1.930; 1.616;
   1.940; 1.616;
   1.950; 1.616;
   1.960; 1.616;
   1.970; 1.615;
   1.980; 1.617;
   1.990; 1.617;
   2.000; 1.617;
   2.010; 1.617;
   2.020; 1.616;
   2.030; 1.616;
   2.040; 1.617;
   2.050; 1.616;
   2.060; 1.616;
   2.070; 1.616;
   2.080; 1.616;
   2.090; 1.616;
   2.100; 1.617;
   2.110; 1.616;
   2.120; 1.616;
   2.130; 1.616;
   2.140; 1.616;
   2.150; 1.616;
   2.160; 1.617;
   2.170; 1.615;
   2.180; 1.616;
   2.190; 1.615;
   2.200; 1.616;
   2.210; 1.615;
   2.220; 1.615;
   2.230; 1.616;
   2.240; 1.616;
   2.250; 1.615;
