Time;F;
   0.010; 1.472;
   0.020; 1.474;
   0.030; 1.474;
   0.040; 1.474;
   0.050; 1.472;
   0.060; 1.476;
   0.070; 1.475;
   0.080; 1.475;
   0.090; 1.476;
   0.100; 1.476;
   0.110; 1.479;
   0.120; 1.479;
   0.130; 1.478;
   0.140; 1.479;
   0.150; 1.479;
   0.160; 1.481;
   0.170; 1.481;
   0.180; 1.482;
   0.190; 1.481;
   0.200; 1.484;
   0.210; 1.485;
   0.220; 1.486;
   0.230; 1.485;
   0.240; 1.486;
   0.250; 1.486;
   0.260; 1.489;
   0.270; 1.488;
   0.280; 1.488;
   0.290; 1.489;
   0.300; 1.489;
   0.310; 1.490;
   0.320; 1.490;
   0.330; 1.490;
   0.340; 1.490;
   0.350; 1.490;
   0.360; 1.494;
   0.370; 1.492;
   0.380; 1.494;
   0.390; 1.492;
   0.400; 1.494;
   0.410; 1.495;
   0.420; 1.495;
   0.430; 1.496;
   0.440; 1.496;
   0.450; 1.495;
   0.460; 1.498;
   0.470; 1.499;
   0.480; 1.499;
   0.490; 1.498;
   0.500; 1.500;
   0.510; 1.501;
   0.520; 1.501;
   0.530; 1.500;
   0.540; 1.501;
   0.550; 1.500;
   0.560; 1.502;
   0.570; 1.501;
   0.580; 1.502;
   0.590; 1.501;
   0.600; 1.502;
   0.610; 1.504;
   0.620; 1.504;
   0.630; 1.504;
   0.640; 1.504;
   0.650; 1.504;
   0.660; 1.505;
   0.670; 1.505;
   0.680; 1.505;
   0.690; 1.505;
   0.700; 1.506;
   0.710; 1.505;
   0.720; 1.505;
   0.730; 1.506;
   0.740; 1.506;
   0.750; 1.505;
   0.760; 1.508;
   0.770; 1.509;
   0.780; 1.509;
   0.790; 1.509;
   0.800; 1.509;
   0.810; 1.508;
   0.820; 1.509;
   0.830; 1.508;
   0.840; 1.509;
   0.850; 1.509;
   0.860; 1.510;
   0.870; 1.509;
   0.880; 1.511;
   0.890; 1.510;
   0.900; 1.510;
   0.910; 1.511;
   0.920; 1.512;
   0.930; 1.511;
   0.940; 1.512;
   0.950; 1.511;
   0.960; 1.514;
   0.970; 1.512;
   0.980; 1.512;
   0.990; 1.514;
   1.000; 1.514;
   1.010; 1.514;
   1.020; 1.514;
   1.030; 1.514;
   1.040; 1.515;
   1.050; 1.514;
   1.060; 1.515;
   1.070; 1.516;
   1.080; 1.516;
   1.090; 1.515;
   1.100; 1.516;
   1.110; 1.518;
   1.120; 1.518;
   1.130; 1.516;
   1.140; 1.518;
   1.150; 1.518;
   1.160; 1.519;
   1.170; 1.518;
   1.180; 1.520;
   1.190; 1.518;
   1.200; 1.519;
   1.210; 1.518;
   1.220; 1.519;
   1.230; 1.519;
   1.240; 1.520;
   1.250; 1.519;
   1.260; 1.520;
   1.270; 1.520;
   1.280; 1.520;
   1.290; 1.520;
   1.300; 1.521;
   1.310; 1.521;
   1.320; 1.521;
   1.330; 1.521;
   1.340; 1.522;
   1.350; 1.521;
   1.360; 1.522;
   1.370; 1.522;
   1.380; 1.524;
   1.390; 1.522;
   1.400; 1.522;
   1.410; 1.522;
   1.420; 1.524;
   1.430; 1.522;
   1.440; 1.524;
   1.450; 1.524;
   1.460; 1.524;
   1.470; 1.524;
   1.480; 1.525;
   1.490; 1.524;
   1.500; 1.524;
   1.510; 1.524;
   1.520; 1.525;
   1.530; 1.525;
   1.540; 1.525;
   1.550; 1.525;
   1.560; 1.525;
   1.570; 1.525;
   1.580; 1.525;
   1.590; 1.525;
   1.600; 1.526;
   1.610; 1.526;
   1.620; 1.526;
   1.630; 1.526;
   1.640; 1.526;
   1.650; 1.526;
   1.660; 1.528;
   1.670; 1.528;
   1.680; 1.528;
   1.690; 1.528;
   1.700; 1.528;
   1.710; 1.528;
   1.720; 1.528;
   1.730; 1.526;
   1.740; 1.528;
   1.750; 1.526;
   1.760; 1.528;
   1.770; 1.528;
   1.780; 1.528;
   1.790; 1.528;
   1.800; 1.528;
   1.810; 1.528;
   1.820; 1.528;
   1.830; 1.528;
   1.840; 1.528;
   1.850; 1.528;
   1.860; 1.528;
   1.870; 1.526;
   1.880; 1.528;
   1.890; 1.528;
   1.900; 1.528;
   1.910; 1.528;
   1.920; 1.528;
   1.930; 1.528;
   1.940; 1.528;
   1.950; 1.528;
   1.960; 1.528;
   1.970; 1.528;
   1.980; 1.528;
   1.990; 1.528;
   2.000; 1.528;
   2.010; 1.528;
   2.020; 1.528;
   2.030; 1.526;
   2.040; 1.528;
   2.050; 1.528;
   2.060; 1.528;
   2.070; 1.526;
   2.080; 1.528;
   2.090; 1.526;
   2.100; 1.528;
   2.110; 1.528;
   2.120; 1.528;
   2.130; 1.528;
   2.140; 1.528;
   2.150; 1.528;
   2.160; 1.529;
   2.170; 1.528;
   2.180; 1.529;
   2.190; 1.529;
   2.200; 1.529;
   2.210; 1.526;
   2.220; 1.529;
   2.230; 1.526;
   2.240; 1.528;
   2.250; 1.528;
   2.260; 1.529;
   2.270; 1.528;
   2.280; 1.529;
   2.290; 1.528;
   2.300; 1.528;
   2.310; 1.528;
   2.320; 1.529;
   2.330; 1.528;
   2.340; 1.528;
   2.350; 1.529;
   2.360; 1.528;
   2.370; 1.529;
   2.380; 1.529;
   2.390; 1.528;
   2.400; 1.529;
   2.410; 1.528;
   2.420; 1.528;
   2.430; 1.526;
   2.440; 1.529;
   2.450; 1.529;
   2.460; 1.528;
   2.470; 1.528;
   2.480; 1.528;
   2.490; 1.529;
   2.500; 1.528;
   2.510; 1.528;
   2.520; 1.528;
   2.530; 1.528;
   2.540; 1.528;
   2.550; 1.528;
   2.560; 1.528;
   2.570; 1.526;
   2.580; 1.528;
   2.590; 1.528;
   2.600; 1.528;
   2.610; 1.526;
   2.620; 1.526;
   2.630; 1.526;
   2.640; 1.526;
   2.650; 1.526;
   2.660; 1.526;
   2.670; 1.526;
   2.680; 1.526;
   2.690; 1.526;
   2.700; 1.526;
   2.710; 1.526;
   2.720; 1.528;
   2.730; 1.526;
   2.740; 1.526;
   2.750; 1.528;
   2.760; 1.526;
   2.770; 1.526;
   2.780; 1.528;
   2.790; 1.526;
   2.800; 1.526;
   2.810; 1.526;
   2.820; 1.526;
   2.830; 1.526;
   2.840; 1.526;
   2.850; 1.526;
   2.860; 1.526;
   2.870; 1.526;
   2.880; 1.526;
   2.890; 1.525;
   2.900; 1.526;
   2.910; 1.525;
   2.920; 1.526;
   2.930; 1.526;
   2.940; 1.526;
   2.950; 1.526;
   2.960; 1.528;
   2.970; 1.526;
   2.980; 1.526;
   2.990; 1.525;
   3.000; 1.526;
   3.010; 1.525;
   3.020; 1.526;
   3.030; 1.525;
   3.040; 1.526;
   3.050; 1.526;
   3.060; 1.525;
   3.070; 1.526;
   3.080; 1.526;
   3.090; 1.526;
   3.100; 1.525;
   3.110; 1.526;
   3.120; 1.526;
   3.130; 1.525;
   3.140; 1.526;
   3.150; 1.526;
   3.160; 1.526;
   3.170; 1.525;
   3.180; 1.525;
   3.190; 1.526;
   3.200; 1.526;
   3.210; 1.525;
   3.220; 1.525;
   3.230; 1.525;
   3.240; 1.526;
   3.250; 1.525;
   3.260; 1.526;
   3.270; 1.525;
   3.280; 1.525;
   3.290; 1.525;
   3.300; 1.526;
   3.310; 1.525;
   3.320; 1.526;
   3.330; 1.525;
   3.340; 1.526;
   3.350; 1.525;
   3.360; 1.525;
   3.370; 1.525;
   3.380; 1.525;
   3.390; 1.525;
   3.400; 1.525;
   3.410; 1.525;
   3.420; 1.525;
   3.430; 1.525;
   3.440; 1.525;
   3.450; 1.525;
   3.460; 1.525;
   3.470; 1.525;
   3.480; 1.525;
   3.490; 1.525;
   3.500; 1.525;
   3.510; 1.525;
   3.520; 1.525;
   3.530; 1.525;
   3.540; 1.525;
   3.550; 1.525;
   3.560; 1.524;
   3.570; 1.524;
   3.580; 1.525;
   3.590; 1.524;
   3.600; 1.525;
   3.610; 1.524;
   3.620; 1.524;
   3.630; 1.524;
   3.640; 1.525;
   3.650; 1.524;
   3.660; 1.525;
   3.670; 1.524;
   3.680; 1.525;
   3.690; 1.524;
   3.700; 1.525;
   3.710; 1.524;
   3.720; 1.524;
   3.730; 1.524;
   3.740; 1.525;
   3.750; 1.524;
   3.760; 1.524;
   3.770; 1.524;
   3.780; 1.524;
   3.790; 1.524;
   3.800; 1.524;
   3.810; 1.522;
   3.820; 1.522;
   3.830; 1.524;
   3.840; 1.524;
   3.850; 1.522;
   3.860; 1.522;
   3.870; 1.521;
   3.880; 1.522;
   3.890; 1.522;
   3.900; 1.522;
   3.910; 1.521;
   3.920; 1.522;
   3.930; 1.521;
   3.940; 1.524;
   3.950; 1.522;
   3.960; 1.521;
   3.970; 1.522;
   3.980; 1.521;
   3.990; 1.521;
   4.000; 1.522;
   4.010; 1.522;
   4.020; 1.522;
   4.030; 1.522;
   4.040; 1.524;
   4.050; 1.522;
   4.060; 1.522;
   4.070; 1.522;
   4.080; 1.524;
   4.090; 1.522;
   4.100; 1.524;
   4.110; 1.524;
   4.120; 1.524;
   4.130; 1.522;
   4.140; 1.524;
   4.150; 1.524;
   4.160; 1.524;
   4.170; 1.522;
   4.180; 1.524;
   4.190; 1.522;
   4.200; 1.524;
   4.210; 1.521;
   4.220; 1.522;
   4.230; 1.522;
   4.240; 1.522;
   4.250; 1.522;
   4.260; 1.522;
   4.270; 1.522;
   4.280; 1.522;
   4.290; 1.522;
   4.300; 1.524;
   4.310; 1.522;
   4.320; 1.524;
   4.330; 1.524;
   4.340; 1.525;
   4.350; 1.522;
   4.360; 1.522;
   4.370; 1.522;
   4.380; 1.522;
   4.390; 1.522;
   4.400; 1.522;
   4.410; 1.522;
   4.420; 1.522;
   4.430; 1.521;
   4.440; 1.524;
   4.450; 1.522;
   4.460; 1.524;
   4.470; 1.524;
