Time;F;
   0.010; 0.570;
   0.020; 0.570;
   0.030; 0.580;
   0.040; 0.579;
   0.050; 0.579;
   0.060; 0.580;
   0.070; 0.580;
   0.080; 0.589;
   0.090; 0.589;
   0.100; 0.590;
   0.110; 0.589;
   0.120; 0.589;
   0.130; 0.598;
   0.140; 0.599;
   0.150; 0.596;
   0.160; 0.598;
   0.170; 0.598;
   0.180; 0.605;
   0.190; 0.605;
   0.200; 0.605;
   0.210; 0.604;
   0.220; 0.605;
   0.230; 0.613;
   0.240; 0.611;
   0.250; 0.613;
   0.260; 0.613;
   0.270; 0.613;
   0.280; 0.619;
   0.290; 0.619;
   0.300; 0.619;
   0.310; 0.620;
   0.320; 0.619;
   0.330; 0.625;
   0.340; 0.625;
   0.350; 0.626;
   0.360; 0.626;
   0.370; 0.626;
   0.380; 0.632;
   0.390; 0.631;
   0.400; 0.631;
   0.410; 0.631;
   0.420; 0.632;
   0.430; 0.637;
   0.440; 0.637;
   0.450; 0.637;
   0.460; 0.637;
   0.470; 0.637;
   0.480; 0.642;
   0.490; 0.642;
   0.500; 0.644;
   0.510; 0.644;
   0.520; 0.644;
   0.530; 0.647;
   0.540; 0.649;
   0.550; 0.649;
   0.560; 0.647;
   0.570; 0.647;
   0.580; 0.652;
   0.590; 0.652;
   0.600; 0.652;
   0.610; 0.652;
   0.620; 0.654;
   0.630; 0.656;
   0.640; 0.657;
   0.650; 0.657;
   0.660; 0.657;
   0.670; 0.656;
   0.680; 0.662;
   0.690; 0.662;
   0.700; 0.661;
   0.710; 0.662;
   0.720; 0.662;
   0.730; 0.666;
   0.740; 0.667;
   0.750; 0.666;
   0.760; 0.666;
   0.770; 0.666;
   0.780; 0.671;
   0.790; 0.670;
   0.800; 0.670;
   0.810; 0.670;
   0.820; 0.671;
   0.830; 0.674;
   0.840; 0.674;
   0.850; 0.674;
   0.860; 0.674;
   0.870; 0.674;
   0.880; 0.677;
   0.890; 0.676;
   0.900; 0.677;
   0.910; 0.677;
   0.920; 0.677;
   0.930; 0.680;
   0.940; 0.680;
   0.950; 0.681;
   0.960; 0.681;
   0.970; 0.680;
   0.980; 0.684;
   0.990; 0.684;
   1.000; 0.684;
   1.010; 0.684;
   1.020; 0.684;
   1.030; 0.688;
   1.040; 0.686;
   1.050; 0.686;
   1.060; 0.688;
   1.070; 0.686;
   1.080; 0.689;
   1.090; 0.689;
   1.100; 0.689;
   1.110; 0.689;
   1.120; 0.689;
   1.130; 0.691;
   1.140; 0.691;
   1.150; 0.691;
   1.160; 0.691;
   1.170; 0.691;
   1.180; 0.694;
   1.190; 0.693;
   1.200; 0.694;
   1.210; 0.693;
   1.220; 0.694;
   1.230; 0.695;
   1.240; 0.695;
   1.250; 0.695;
   1.260; 0.696;
   1.270; 0.696;
   1.280; 0.698;
   1.290; 0.698;
   1.300; 0.696;
   1.310; 0.698;
   1.320; 0.698;
   1.330; 0.699;
