Time;F;
   0.010; 0.748;
   0.020; 0.749;
   0.030; 0.761;
   0.040; 0.760;
   0.050; 0.760;
   0.060; 0.760;
   0.070; 0.760;
   0.080; 0.772;
   0.090; 0.771;
   0.100; 0.771;
   0.110; 0.771;
   0.120; 0.772;
   0.130; 0.781;
   0.140; 0.782;
   0.150; 0.781;
   0.160; 0.782;
   0.170; 0.782;
   0.180; 0.792;
   0.190; 0.792;
   0.200; 0.792;
   0.210; 0.792;
   0.220; 0.792;
   0.230; 0.801;
   0.240; 0.801;
   0.250; 0.801;
   0.260; 0.801;
   0.270; 0.801;
   0.280; 0.811;
   0.290; 0.809;
   0.300; 0.810;
   0.310; 0.810;
   0.320; 0.811;
   0.330; 0.818;
   0.340; 0.819;
   0.350; 0.819;
   0.360; 0.819;
   0.370; 0.819;
   0.380; 0.826;
   0.390; 0.825;
   0.400; 0.826;
   0.410; 0.825;
   0.420; 0.828;
   0.430; 0.834;
   0.440; 0.834;
   0.450; 0.833;
   0.460; 0.834;
   0.470; 0.834;
   0.480; 0.840;
   0.490; 0.840;
   0.500; 0.840;
   0.510; 0.840;
   0.520; 0.841;
   0.530; 0.846;
   0.540; 0.846;
   0.550; 0.846;
   0.560; 0.848;
   0.570; 0.848;
   0.580; 0.853;
   0.590; 0.853;
   0.600; 0.853;
   0.610; 0.853;
   0.620; 0.854;
   0.630; 0.858;
   0.640; 0.858;
   0.650; 0.858;
   0.660; 0.858;
   0.670; 0.860;
   0.680; 0.864;
   0.690; 0.864;
   0.700; 0.863;
   0.710; 0.863;
   0.720; 0.865;
   0.730; 0.869;
   0.740; 0.869;
   0.750; 0.868;
   0.760; 0.870;
   0.770; 0.870;
   0.780; 0.873;
   0.790; 0.873;
   0.800; 0.873;
   0.810; 0.874;
   0.820; 0.875;
   0.830; 0.877;
   0.840; 0.877;
   0.850; 0.877;
   0.860; 0.877;
   0.870; 0.879;
   0.880; 0.880;
   0.890; 0.880;
   0.900; 0.880;
   0.910; 0.880;
   0.920; 0.881;
   0.930; 0.884;
   0.940; 0.884;
   0.950; 0.884;
   0.960; 0.885;
   0.970; 0.885;
   0.980; 0.887;
   0.990; 0.886;
   1.000; 0.887;
   1.010; 0.887;
   1.020; 0.889;
   1.030; 0.890;
   1.040; 0.890;
   1.050; 0.890;
   1.060; 0.891;
   1.070; 0.890;
   1.080; 0.894;
   1.090; 0.892;
   1.100; 0.892;
   1.110; 0.892;
   1.120; 0.894;
   1.130; 0.895;
   1.140; 0.895;
   1.150; 0.896;
   1.160; 0.896;
   1.170; 0.896;
   1.180; 0.897;
   1.190; 0.896;
   1.200; 0.897;
   1.210; 0.897;
   1.220; 0.899;
   1.230; 0.900;
   1.240; 0.900;
   1.250; 0.900;
   1.260; 0.901;
   1.270; 0.901;
   1.280; 0.902;
   1.290; 0.901;
   1.300; 0.902;
   1.310; 0.902;
   1.320; 0.904;
   1.330; 0.904;
   1.340; 0.905;
   1.350; 0.904;
   1.360; 0.905;
   1.370; 0.905;
   1.380; 0.906;
   1.390; 0.906;
   1.400; 0.907;
   1.410; 0.906;
   1.420; 0.907;
   1.430; 0.907;
   1.440; 0.909;
   1.450; 0.909;
   1.460; 0.909;
   1.470; 0.909;
   1.480; 0.910;
   1.490; 0.909;
   1.500; 0.910;
   1.510; 0.910;
   1.520; 0.911;
   1.530; 0.911;
   1.540; 0.911;
   1.550; 0.911;
   1.560; 0.912;
   1.570; 0.912;
   1.580; 0.912;
   1.590; 0.914;
   1.600; 0.914;
   1.610; 0.912;
   1.620; 0.914;
   1.630; 0.914;
   1.640; 0.915;
   1.650; 0.915;
   1.660; 0.915;
   1.670; 0.915;
   1.680; 0.915;
   1.690; 0.915;
   1.700; 0.916;
   1.710; 0.915;
   1.720; 0.916;
   1.730; 0.916;
   1.740; 0.916;
   1.750; 0.916;
   1.760; 0.917;
   1.770; 0.917;
   1.780; 0.917;
   1.790; 0.917;
   1.800; 0.917;
   1.810; 0.917;
   1.820; 0.919;
   1.830; 0.919;
   1.840; 0.920;
   1.850; 0.920;
   1.860; 0.920;
   1.870; 0.920;
   1.880; 0.921;
   1.890; 0.920;
   1.900; 0.920;
   1.910; 0.921;
   1.920; 0.921;
   1.930; 0.921;
   1.940; 0.922;
   1.950; 0.921;
   1.960; 0.921;
   1.970; 0.922;
   1.980; 0.922;
   1.990; 0.922;
   2.000; 0.924;
   2.010; 0.922;
   2.020; 0.922;
   2.030; 0.922;
   2.040; 0.924;
   2.050; 0.924;
   2.060; 0.924;
   2.070; 0.924;
   2.080; 0.925;
   2.090; 0.924;
   2.100; 0.925;
   2.110; 0.925;
   2.120; 0.925;
   2.130; 0.925;
   2.140; 0.926;
   2.150; 0.925;
   2.160; 0.926;
   2.170; 0.925;
   2.180; 0.925;
   2.190; 0.926;
   2.200; 0.927;
   2.210; 0.926;
   2.220; 0.926;
   2.230; 0.926;
   2.240; 0.927;
   2.250; 0.926;
   2.260; 0.927;
   2.270; 0.926;
   2.280; 0.927;
   2.290; 0.927;
   2.300; 0.927;
   2.310; 0.927;
   2.320; 0.927;
   2.330; 0.927;
   2.340; 0.929;
   2.350; 0.927;
   2.360; 0.929;
   2.370; 0.929;
   2.380; 0.930;
   2.390; 0.929;
   2.400; 0.930;
   2.410; 0.929;
   2.420; 0.930;
   2.430; 0.930;
   2.440; 0.930;
   2.450; 0.931;
   2.460; 0.930;
   2.470; 0.930;
   2.480; 0.930;
   2.490; 0.930;
   2.500; 0.930;
   2.510; 0.930;
   2.520; 0.930;
   2.530; 0.931;
   2.540; 0.931;
   2.550; 0.931;
   2.560; 0.931;
   2.570; 0.931;
   2.580; 0.931;
   2.590; 0.930;
   2.600; 0.932;
   2.610; 0.931;
   2.620; 0.932;
   2.630; 0.931;
