Time;F;
   0.010; 1.305;
   0.020; 1.306;
   0.030; 1.341;
   0.040; 1.343;
   0.050; 1.341;
   0.060; 1.341;
   0.070; 1.341;
   0.080; 1.375;
   0.090; 1.375;
   0.100; 1.375;
   0.110; 1.375;
   0.120; 1.376;
   0.130; 1.406;
   0.140; 1.406;
   0.150; 1.406;
   0.160; 1.407;
   0.170; 1.406;
   0.180; 1.436;
   0.190; 1.436;
   0.200; 1.436;
   0.210; 1.436;
   0.220; 1.438;
   0.230; 1.465;
   0.240; 1.465;
   0.250; 1.465;
   0.260; 1.465;
   0.270; 1.464;
   0.280; 1.491;
   0.290; 1.491;
   0.300; 1.491;
   0.310; 1.491;
   0.320; 1.491;
   0.330; 1.516;
   0.340; 1.516;
   0.350; 1.515;
   0.360; 1.515;
   0.370; 1.516;
   0.380; 1.540;
   0.390; 1.539;
   0.400; 1.540;
   0.410; 1.539;
   0.420; 1.540;
   0.430; 1.560;
   0.440; 1.561;
   0.450; 1.561;
   0.460; 1.563;
   0.470; 1.561;
   0.480; 1.583;
   0.490; 1.581;
   0.500; 1.581;
   0.510; 1.581;
   0.520; 1.583;
   0.530; 1.600;
   0.540; 1.600;
   0.550; 1.600;
   0.560; 1.600;
   0.570; 1.599;
   0.580; 1.619;
   0.590; 1.617;
   0.600; 1.619;
   0.610; 1.617;
   0.620; 1.619;
   0.630; 1.635;
   0.640; 1.635;
   0.650; 1.634;
   0.660; 1.636;
   0.670; 1.635;
   0.680; 1.651;
   0.690; 1.650;
   0.700; 1.651;
   0.710; 1.651;
   0.720; 1.651;
   0.730; 1.665;
   0.740; 1.666;
   0.750; 1.666;
   0.760; 1.665;
   0.770; 1.665;
   0.780; 1.680;
   0.790; 1.679;
   0.800; 1.679;
   0.810; 1.680;
   0.820; 1.679;
   0.830; 1.692;
   0.840; 1.692;
   0.850; 1.694;
   0.860; 1.694;
   0.870; 1.692;
   0.880; 1.706;
   0.890; 1.705;
   0.900; 1.706;
   0.910; 1.705;
   0.920; 1.708;
   0.930; 1.716;
   0.940; 1.718;
   0.950; 1.716;
   0.960; 1.718;
   0.970; 1.718;
   0.980; 1.729;
   0.990; 1.729;
   1.000; 1.729;
   1.010; 1.729;
   1.020; 1.729;
   1.030; 1.739;
   1.040; 1.739;
   1.050; 1.740;
   1.060; 1.739;
   1.070; 1.739;
   1.080; 1.749;
   1.090; 1.749;
   1.100; 1.749;
   1.110; 1.749;
   1.120; 1.749;
   1.130; 1.758;
   1.140; 1.758;
   1.150; 1.758;
   1.160; 1.758;
   1.170; 1.756;
   1.180; 1.768;
   1.190; 1.765;
   1.200; 1.766;
   1.210; 1.766;
   1.220; 1.766;
   1.230; 1.774;
   1.240; 1.774;
   1.250; 1.774;
   1.260; 1.774;
   1.270; 1.775;
   1.280; 1.784;
   1.290; 1.782;
   1.300; 1.784;
   1.310; 1.782;
   1.320; 1.784;
   1.330; 1.789;
   1.340; 1.790;
   1.350; 1.789;
   1.360; 1.790;
   1.370; 1.790;
   1.380; 1.796;
   1.390; 1.795;
   1.400; 1.796;
   1.410; 1.796;
   1.420; 1.796;
   1.430; 1.802;
   1.440; 1.804;
   1.450; 1.804;
   1.460; 1.802;
   1.470; 1.802;
   1.480; 1.809;
   1.490; 1.808;
   1.500; 1.808;
   1.510; 1.809;
   1.520; 1.809;
   1.530; 1.813;
   1.540; 1.814;
   1.550; 1.814;
   1.560; 1.815;
   1.570; 1.813;
   1.580; 1.819;
   1.590; 1.819;
   1.600; 1.820;
   1.610; 1.819;
   1.620; 1.819;
   1.630; 1.823;
   1.640; 1.824;
   1.650; 1.823;
   1.660; 1.824;
   1.670; 1.823;
   1.680; 1.827;
   1.690; 1.827;
   1.700; 1.827;
   1.710; 1.829;
   1.720; 1.827;
   1.730; 1.831;
   1.740; 1.831;
   1.750; 1.831;
   1.760; 1.831;
   1.770; 1.831;
   1.780; 1.836;
   1.790; 1.835;
   1.800; 1.835;
   1.810; 1.835;
   1.820; 1.836;
   1.830; 1.839;
   1.840; 1.840;
   1.850; 1.840;
   1.860; 1.840;
   1.870; 1.840;
   1.880; 1.844;
   1.890; 1.844;
   1.900; 1.843;
   1.910; 1.843;
   1.920; 1.844;
   1.930; 1.845;
   1.940; 1.846;
   1.950; 1.846;
   1.960; 1.846;
   1.970; 1.846;
   1.980; 1.850;
   1.990; 1.850;
   2.000; 1.850;
   2.010; 1.850;
   2.020; 1.849;
   2.030; 1.853;
   2.040; 1.853;
   2.050; 1.851;
   2.060; 1.853;
   2.070; 1.851;
   2.080; 1.855;
   2.090; 1.854;
   2.100; 1.855;
   2.110; 1.855;
   2.120; 1.855;
   2.130; 1.856;
   2.140; 1.856;
   2.150; 1.856;
   2.160; 1.856;
   2.170; 1.856;
   2.180; 1.860;
   2.190; 1.859;
   2.200; 1.859;
   2.210; 1.859;
   2.220; 1.860;
   2.230; 1.861;
   2.240; 1.861;
   2.250; 1.861;
   2.260; 1.861;
   2.270; 1.861;
   2.280; 1.863;
   2.290; 1.863;
   2.300; 1.864;
   2.310; 1.863;
   2.320; 1.863;
   2.330; 1.865;
   2.340; 1.865;
   2.350; 1.865;
   2.360; 1.865;
   2.370; 1.865;
   2.380; 1.867;
   2.390; 1.866;
   2.400; 1.867;
   2.410; 1.867;
   2.420; 1.867;
   2.430; 1.870;
   2.440; 1.870;
   2.450; 1.869;
   2.460; 1.869;
   2.470; 1.869;
   2.480; 1.871;
   2.490; 1.869;
   2.500; 1.870;
   2.510; 1.870;
   2.520; 1.871;
   2.530; 1.871;
   2.540; 1.871;
   2.550; 1.871;
   2.560; 1.871;
   2.570; 1.870;
   2.580; 1.873;
   2.590; 1.873;
   2.600; 1.873;
   2.610; 1.873;
   2.620; 1.873;
   2.630; 1.873;
   2.640; 1.874;
   2.650; 1.874;
   2.660; 1.874;
   2.670; 1.873;
   2.680; 1.875;
   2.690; 1.875;
   2.700; 1.875;
   2.710; 1.874;
   2.720; 1.875;
   2.730; 1.877;
   2.740; 1.876;
   2.750; 1.875;
   2.760; 1.876;
   2.770; 1.875;
   2.780; 1.876;
   2.790; 1.876;
   2.800; 1.877;
   2.810; 1.876;
   2.820; 1.876;
   2.830; 1.877;
   2.840; 1.879;
   2.850; 1.877;
   2.860; 1.877;
   2.870; 1.877;
   2.880; 1.880;
   2.890; 1.879;
   2.900; 1.880;
   2.910; 1.879;
   2.920; 1.880;
   2.930; 1.879;
   2.940; 1.879;
   2.950; 1.880;
   2.960; 1.880;
   2.970; 1.880;
   2.980; 1.880;
   2.990; 1.880;
   3.000; 1.881;
   3.010; 1.880;
   3.020; 1.881;
   3.030; 1.881;
   3.040; 1.881;
   3.050; 1.881;
   3.060; 1.881;
   3.070; 1.881;
   3.080; 1.881;
   3.090; 1.881;
   3.100; 1.881;
   3.110; 1.881;
   3.120; 1.881;
   3.130; 1.881;
   3.140; 1.883;
   3.150; 1.881;
   3.160; 1.883;
   3.170; 1.883;
   3.180; 1.883;
   3.190; 1.883;
   3.200; 1.884;
   3.210; 1.884;
   3.220; 1.884;
   3.230; 1.883;
   3.240; 1.884;
   3.250; 1.883;
   3.260; 1.884;
   3.270; 1.884;
   3.280; 1.885;
   3.290; 1.885;
   3.300; 1.885;
   3.310; 1.885;
   3.320; 1.885;
   3.330; 1.885;
   3.340; 1.884;
   3.350; 1.884;
   3.360; 1.886;
   3.370; 1.884;
   3.380; 1.886;
   3.390; 1.885;
   3.400; 1.886;
   3.410; 1.885;
   3.420; 1.886;
   3.430; 1.886;
   3.440; 1.886;
   3.450; 1.886;
   3.460; 1.887;
   3.470; 1.886;
   3.480; 1.886;
   3.490; 1.885;
   3.500; 1.886;
   3.510; 1.886;
   3.520; 1.887;
   3.530; 1.886;
   3.540; 1.887;
   3.550; 1.887;
   3.560; 1.887;
   3.570; 1.886;
   3.580; 1.887;
   3.590; 1.886;
   3.600; 1.887;
   3.610; 1.887;
   3.620; 1.889;
   3.630; 1.886;
   3.640; 1.887;
   3.650; 1.887;
   3.660; 1.887;
   3.670; 1.886;
   3.680; 1.887;
   3.690; 1.887;
   3.700; 1.887;
   3.710; 1.886;
   3.720; 1.887;
   3.730; 1.886;
   3.740; 1.887;
   3.750; 1.886;
   3.760; 1.887;
   3.770; 1.887;
   3.780; 1.887;
   3.790; 1.887;
   3.800; 1.887;
   3.810; 1.886;
   3.820; 1.889;
   3.830; 1.889;
   3.840; 1.889;
   3.850; 1.889;
   3.860; 1.889;
   3.870; 1.889;
   3.880; 1.889;
   3.890; 1.887;
   3.900; 1.889;
   3.910; 1.889;
   3.920; 1.889;
   3.930; 1.889;
   3.940; 1.889;
   3.950; 1.889;
   3.960; 1.890;
   3.970; 1.889;
   3.980; 1.890;
   3.990; 1.890;
   4.000; 1.890;
