CO2conc_uM,CO2fix_umol_mgChl_h
2.3000000000000003,19.546
4.1,80.279
4.66,125.654
5.84,164.747
6.57,184.293
6.93,196.161
14.059999999999999,305.759
87.84,363.002
235.39000000000001,367.19
457.40999999999997,383.944
1000.0,344.852
