Time;F;
   2.910; 3.222;
   2.920; 3.222;
   2.930; 3.222;
   2.940; 3.222;
   2.950; 3.222;
   2.960; 3.222;
   2.970; 3.222;
   2.980; 3.222;
   2.990; 3.222;
   3.000; 3.222;
   3.010; 3.222;
   3.020; 3.222;
   3.030; 3.222;
   3.040; 3.222;
   3.050; 3.223;
   3.060; 3.221;
   3.070; 3.220;
   3.080; 3.222;
   3.090; 3.222;
   3.100; 3.221;
   3.110; 3.222;
   3.120; 3.222;
   3.130; 3.222;
   3.140; 3.221;
   3.150; 3.223;
   3.160; 3.225;
   3.170; 3.226;
   3.180; 3.226;
   3.190; 3.225;
   3.200; 3.224;
   3.210; 3.223;
   3.220; 3.222;
   3.230; 3.222;
   3.240; 3.223;
   3.250; 3.223;
   3.260; 3.223;
   3.270; 3.223;
   3.280; 3.222;
   3.290; 3.222;
   3.300; 3.222;
   3.310; 3.222;
   3.320; 3.220;
   3.330; 3.221;
   3.340; 3.375;
   3.350; 3.619;
   3.360; 3.738;
   3.370; 3.793;
   3.380; 3.818;
   3.390; 3.826;
   3.400; 3.831;
   3.410; 3.832;
   3.420; 3.834;
   3.430; 3.832;
   3.440; 3.830;
   3.450; 3.827;
   3.460; 3.828;
   3.470; 3.829;
   3.480; 3.830;
   3.490; 3.830;
   3.500; 3.828;
   3.510; 3.828;
   3.520; 3.827;
   3.530; 3.826;
   3.540; 3.828;
   3.550; 3.829;
   3.560; 3.826;
   3.570; 3.827;
   3.580; 3.826;
   3.590; 3.826;
   3.600; 3.825;
   3.610; 3.826;
   3.620; 3.828;
   3.630; 3.827;
   3.640; 3.828;
   3.650; 3.829;
   3.660; 3.828;
   3.670; 3.831;
   3.680; 3.830;
   3.690; 3.833;
   3.700; 3.833;
   3.710; 3.835;
   3.720; 3.835;
   3.730; 3.837;
   3.740; 3.840;
   3.750; 3.839;
   3.760; 3.842;
   3.770; 3.842;
   3.780; 3.842;
   3.790; 3.843;
   3.800; 3.844;
   3.810; 3.848;
   3.820; 3.850;
   3.830; 3.849;
   3.840; 3.849;
   3.850; 3.849;
   3.860; 3.849;
   3.870; 3.849;
   3.880; 3.851;
   3.890; 3.852;
   3.900; 3.854;
   3.910; 3.855;
   3.920; 3.858;
   3.930; 3.861;
   3.940; 3.858;
   3.950; 3.859;
   3.960; 3.861;
   3.970; 3.862;
   3.980; 3.861;
   3.990; 3.862;
   4.000; 3.863;
   4.010; 3.861;
